Lambda,FirstPlayerWinProb,SecondPlayerWinProb,ThirdPlayerWinProb
0,0.365634,0.403483,0.230882
0.151419,0.363396,0.400449,0.236154
0.325765,0.360838,0.396981,0.24218
0.526511,0.357944,0.393056,0.249
0.757654,0.354715,0.388676,0.256608
1.0238,0.351182,0.38388,0.264939
1.33024,0.347406,0.378752,0.273843
1.68308,0.343487,0.373428,0.283085
2.08935,0.339553,0.368085,0.292362
2.55713,0.335735,0.36291,0.301355
3.09575,0.332147,0.358074,0.309779
3.71592,0.328862,0.353691,0.317448
4.43,0.325904,0.349814,0.324282
5.25221,0.323266,0.346441,0.330293
6.19891,0.320918,0.343536,0.335546
7.28896,0.318821,0.341033,0.340146
8.54407,0.31698,0.338918,0.344102
9.98922,0.315379,0.337138,0.347483
11.6532,0.314003,0.335655,0.350342
13.5691,0.312839,0.334429,0.352732
15.7752,0.311873,0.333424,0.354702
18.3152,0.311088,0.332615,0.356297
21.2399,0.310458,0.331969,0.357573
24.6075,0.309956,0.331456,0.358588
28.4849,0.309563,0.331051,0.359386
32.9495,0.309254,0.330733,0.360013
38.0901,0.309019,0.330491,0.36049
44.0091,0.308831,0.330296,0.360873
50.8243,0.308688,0.330149,0.361163
58.6715,0.30857,0.330027,0.361403
67.7069,0.30848,0.329934,0.361586
78.1104,0.308405,0.329857,0.361738
90.0893,0.308342,0.329792,0.361866
103.882,0.308288,0.329736,0.361976
119.763,0.308247,0.329695,0.362058
138.049,0.308215,0.329662,0.362123
159.103,0.308191,0.329638,0.362171
183.346,0.308175,0.329621,0.362204
211.26,0.308165,0.329611,0.362224
243.4,0.308159,0.329605,0.362235
280.406,0.308155,0.329601,0.362244
323.017,0.308155,0.3296,0.362245
372.079,0.308154,0.3296,0.362245
428.57,0.308154,0.3296,0.362246
493.615,0.308154,0.3296,0.362246
568.509,0.308154,0.3296,0.362246
654.744,0.308154,0.3296,0.362246
754.036,0.308154,0.3296,0.362246
868.362,0.308154,0.3296,0.362246
1000,0.308154,0.3296,0.362246
