Lambda,FirstPlayerWinProb,SecondPlayerWinProb,ThirdPlayerWinProb
0,0.360524,0.215527,0.423949
0.151419,0.359084,0.219,0.421916
0.325765,0.357432,0.222982,0.419586
0.526511,0.355551,0.227517,0.416932
0.757654,0.353427,0.232635,0.413938
1.0238,0.351061,0.238334,0.410605
1.33024,0.348454,0.244605,0.40694
1.68308,0.345648,0.251347,0.403005
2.08935,0.34269,0.258437,0.398873
2.55713,0.339647,0.265704,0.394649
3.09575,0.336591,0.27296,0.390449
3.71592,0.33359,0.280024,0.386387
4.43,0.330693,0.286752,0.382555
5.25221,0.327933,0.293045,0.379021
6.19891,0.325327,0.298845,0.375829
7.28896,0.322884,0.304112,0.373005
8.54407,0.320601,0.308854,0.370545
9.98922,0.318534,0.31296,0.368506
11.6532,0.316667,0.316502,0.366831
13.5691,0.31503,0.319459,0.365511
15.7752,0.313632,0.321863,0.364505
18.3152,0.312475,0.323754,0.363771
21.2399,0.311536,0.325236,0.363228
24.6075,0.310795,0.326349,0.362856
28.4849,0.310219,0.327184,0.362597
32.9495,0.30978,0.327794,0.362426
38.0901,0.309448,0.328245,0.362307
44.0091,0.309195,0.32858,0.362224
50.8243,0.309,0.328829,0.362171
58.6715,0.308854,0.329007,0.36214
67.7069,0.308731,0.329149,0.362121
78.1104,0.308634,0.329252,0.362115
90.0893,0.308548,0.329336,0.362116
103.882,0.308472,0.329405,0.362123
119.763,0.308411,0.329455,0.362134
138.049,0.308358,0.329496,0.362146
159.103,0.308313,0.329527,0.36216
183.346,0.308277,0.32955,0.362173
211.26,0.308249,0.329565,0.362186
243.4,0.308227,0.329576,0.362197
280.406,0.308209,0.329583,0.362208
323.017,0.308193,0.329589,0.362217
372.079,0.308182,0.329592,0.362226
428.57,0.308173,0.329595,0.362232
493.615,0.308166,0.329597,0.362237
568.509,0.308161,0.329598,0.36224
654.744,0.308158,0.329599,0.362243
754.036,0.308156,0.3296,0.362244
868.362,0.308155,0.3296,0.362245
1000,0.308154,0.3296,0.362246
